participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,participant.wealth,participant.comprehension_check,participant.comprehension_check1,participant.comprehension_check2,participant.manipulation_check,participant.human_check,participant.feedback,participant.part_id,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo,session.config.name,session.config.real_world_currency_per_point,session.config.participation_fee,mftrust.1.player.id_in_group,mftrust.1.player.role,mftrust.1.player.payoff,mftrust.1.player.wealth,mftrust.1.player.comprehension_check,mftrust.1.player.manipulation_check,mftrust.1.player.human_check,mftrust.1.player.feedback,mftrust.1.group.id_in_subsession,mftrust.1.group.message,mftrust.1.group.sent_amount,mftrust.1.group.sent_back_amount,mftrust.1.subsession.round_number,mftrust.2.player.id_in_group,mftrust.2.player.role,mftrust.2.player.payoff,mftrust.2.player.wealth,mftrust.2.player.comprehension_check,mftrust.2.player.manipulation_check,mftrust.2.player.human_check,mftrust.2.player.feedback,mftrust.2.group.id_in_subsession,mftrust.2.group.message,mftrust.2.group.sent_amount,mftrust.2.group.sent_back_amount,mftrust.2.subsession.round_number,mftrust.3.player.id_in_group,mftrust.3.player.role,mftrust.3.player.payoff,mftrust.3.player.wealth,mftrust.3.player.comprehension_check,mftrust.3.player.manipulation_check,mftrust.3.player.human_check,mftrust.3.player.feedback,mftrust.3.group.id_in_subsession,mftrust.3.group.message,mftrust.3.group.sent_amount,mftrust.3.group.sent_back_amount,mftrust.3.subsession.round_number
11,gnjypeyu,,0,30,30,mftrust,Thanks,2024-05-09 06:51:39.542472,1,,,230.0,230.0,,,,,,,Cags vrx2,1gto96kv,,,,,0,mftrust,1.0,0.0,1,,100.0,0.0,,,,,6,I might pay you a dividend but don't bet on it!,20.0,20.0,1,1,,80.0,0.0,,,,,6,,30.0,10.0,2,1,,50.0,0.0,3,1,2,More clarity on the decision-making process and outcomes of each round would enhance the participant's understanding and engagement.,6,,50.0,0.0,3
12,un33qigq,,0,30,30,mftrust,Thanks,2024-05-09 06:57:04.603963,1,,,270.0,270.0,,,,,,,bTOz RhaG,1gto96kv,,,,,0,mftrust,1.0,0.0,2,,40.0,0.0,,,,,6,I might pay you a dividend but don't bet on it!,20.0,20.0,1,2,,80.0,0.0,,,,,6,,30.0,10.0,2,2,,150.0,0.0,3,2,2,It kept sending me money,6,,50.0,0.0,3
13,0er8h6yq,,0,30,30,mftrust,Thanks,2024-05-09 06:58:22.643842,1,,,425.0,425.0,,,,,,,2j1R h4Fm,1gto96kv,,,,,0,mftrust,1.0,0.0,1,,125.0,0.0,,,,,7,,50.0,75.0,1,1,,150.0,0.0,,,,,7,,100.0,150.0,2,1,,150.0,0.0,3,1,2,Why did it not send a message?,7,,100.0,150.0,3
14,a3j7f3r0,,0,30,30,mftrust,Thanks,2024-05-09 06:51:39.615032,1,,,375.0,375.0,,,,,,,z8Tu pYJi,1gto96kv,,,,,0,mftrust,1.0,0.0,2,,75.0,0.0,,,,,7,,50.0,75.0,1,2,,150.0,0.0,,,,,7,,100.0,150.0,2,2,,150.0,0.0,3,2,1,The experiment provided interesting insights into the decision-making process between investors and managers. It would be helpful to know more about the rationale behind the investors' decisions.,7,,100.0,150.0,3
15,27ope9rl,,0,30,30,mftrust,Thanks,2024-05-09 07:05:12.401928,1,,,450.0,450.0,,,,,,,eq4D VJu2,1gto96kv,,,,,0,mftrust,1.0,0.0,1,,150.0,0.0,,,,,8,Let's work together to make the most of our investments. I'm committed to transparency and maximizing our returns.,100.0,150.0,1,1,,150.0,0.0,,,,,8,,100.0,150.0,2,1,,150.0,0.0,3,1,2,We maxed it!,8,,100.0,150.0,3
16,w4qyiv6e,,0,30,30,mftrust,Thanks,2024-05-09 06:51:38.167754,1,,,450.0,450.0,,,,,,,dcJJ 2g25,1gto96kv,,,,,0,mftrust,1.0,0.0,2,,150.0,0.0,,,,,8,Let's work together to make the most of our investments. I'm committed to transparency and maximizing our returns.,100.0,150.0,1,2,,150.0,0.0,,,,,8,,100.0,150.0,2,2,,150.0,0.0,3,2,2,No specific feedback. The game and decisions were straightforward.,8,,100.0,150.0,3
17,rrge9l0j,,0,30,30,mftrust,Thanks,2024-05-09 07:09:53.525990,1,,,430.0,430.0,,,,,,,mSSa qSxI,1gto96kv,,,,,0,mftrust,1.0,0.0,1,,130.0,0.0,,,,,9,I will fairly share whatever you invest,80.0,110.0,1,1,,150.0,0.0,,,,,9,,100.0,150.0,2,1,,150.0,0.0,3,1,1,,9,,100.0,150.0,3
18,lgwet6fp,,0,30,30,mftrust,Thanks,2024-05-09 07:09:57.776313,1,,,430.0,430.0,,,,,,,HpC9 u7Ti,1gto96kv,,,,,0,mftrust,1.0,0.0,2,,130.0,0.0,,,,,9,I will fairly share whatever you invest,80.0,110.0,1,2,,150.0,0.0,,,,,9,,100.0,150.0,2,2,,150.0,0.0,3,2,1,We did well,9,,100.0,150.0,3
19,d37sdrfi,,0,8,30,mftrust,Results,2024-05-09 07:13:36.536218,1,,,110.0,110.0,,,,,,,c4zT qwr2,1gto96kv,,,,,0,mftrust,1.0,0.0,1,,110.0,0.0,,,,,10,We will rock this 😎,50.0,60.0,1,1,,0.0,0.0,,,,,10,,,,2,1,,0.0,0.0,,,,,10,,,,3
20,kpnou8dc,,0,8,30,mftrust,Results,2024-05-09 07:13:46.134487,1,,,90.0,90.0,,,,,,,YUET VD7b,1gto96kv,,,,,0,mftrust,1.0,0.0,2,,90.0,0.0,,,,,10,We will rock this 😎,50.0,60.0,1,2,,0.0,0.0,,,,,10,,,,2,2,,0.0,0.0,,,,,10,,,,3
21,oa834yxf,,0,7,30,mftrust,ResultsWaitPage,2024-05-09 07:15:10.957531,1,,,0.0,0.0,,,,,,,USwQ OfWF,1gto96kv,,,,,0,mftrust,1.0,0.0,1,,0.0,0.0,,,,,11,I will not continue,50.0,,1,1,,0.0,0.0,,,,,11,,,,2,1,,0.0,0.0,,,,,11,,,,3
22,xskugesp,,0,6,30,mftrust,SendBack,2024-05-09 07:15:51.279410,1,,,0.0,0.0,,,,,,,KpCs FPBg,1gto96kv,,,,,0,mftrust,1.0,0.0,2,,0.0,0.0,,,,,11,I will not continue,50.0,,1,2,,0.0,0.0,,,,,11,,,,2,2,,0.0,0.0,,,,,11,,,,3
23,6ro0hv59,,0,3,30,mftrust,SendWaitPage,2024-05-09 07:16:44.237555,1,,,0.0,0.0,,,,,,,x4WM G9if,1gto96kv,,,,,0,mftrust,1.0,0.0,1,,0.0,0.0,,,,,12,,,,1,1,,0.0,0.0,,,,,12,,,,2,1,,0.0,0.0,,,,,12,,,,3
24,j8rdot7t,,0,0,30,,,,0,,,0.0,0.0,,,,,,,X0zx x79k,1gto96kv,,,,,0,mftrust,1.0,0.0,2,,0.0,0.0,,,,,12,,,,1,2,,0.0,0.0,,,,,12,,,,2,2,,0.0,0.0,,,,,12,,,,3
