participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,participant.wealth,participant.comprehension_check,participant.comprehension_check1,participant.comprehension_check2,participant.manipulation_check,participant.human_check,participant.feedback,participant.part_id,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo,session.config.participation_fee,session.config.real_world_currency_per_point,session.config.name,mftrust.1.player.id_in_group,mftrust.1.player.role,mftrust.1.player.payoff,mftrust.1.player.wealth,mftrust.1.player.comprehension_check,mftrust.1.player.manipulation_check,mftrust.1.player.human_check,mftrust.1.player.feedback,mftrust.1.group.id_in_subsession,mftrust.1.group.message,mftrust.1.group.sent_amount,mftrust.1.group.sent_back_amount,mftrust.1.subsession.round_number,mftrust.2.player.id_in_group,mftrust.2.player.role,mftrust.2.player.payoff,mftrust.2.player.wealth,mftrust.2.player.comprehension_check,mftrust.2.player.manipulation_check,mftrust.2.player.human_check,mftrust.2.player.feedback,mftrust.2.group.id_in_subsession,mftrust.2.group.message,mftrust.2.group.sent_amount,mftrust.2.group.sent_back_amount,mftrust.2.subsession.round_number,mftrust.3.player.id_in_group,mftrust.3.player.role,mftrust.3.player.payoff,mftrust.3.player.wealth,mftrust.3.player.comprehension_check,mftrust.3.player.manipulation_check,mftrust.3.player.human_check,mftrust.3.player.feedback,mftrust.3.group.id_in_subsession,mftrust.3.group.message,mftrust.3.group.sent_amount,mftrust.3.group.sent_back_amount,mftrust.3.subsession.round_number
11,mimnw3mh,,0,30,30,mftrust,Thanks,2024-05-06 15:07:14.766775,1,,,420.0,420.0,,,,,,,49cp wDgK,bdmdei36,,,,,0,0.0,1.0,mftrust,1,,135.0,0.0,,,,,6,Let's work together to maximize our points!,70.0,105.0,1,1,,140.0,0.0,,,,,6,,80.0,120.0,2,1,,145.0,0.0,3,1,1,,6,,90.0,135.0,3
12,at2twn1u,,0,30,30,mftrust,Thanks,2024-05-06 15:07:06.920274,1,,,360.0,360.0,,,,,,,vHs9 tyry,bdmdei36,,,,,0,0.0,1.0,mftrust,2,,105.0,0.0,,,,,6,Let's work together to maximize our points!,70.0,105.0,1,2,,120.0,0.0,,,,,6,,80.0,120.0,2,2,,135.0,0.0,3,2,1,The game was engaging and illustrated interesting dynamics of investment and return. A clearer explanation of the multiplier's role might help understand strategies better.,6,,90.0,135.0,3
13,qep2c87t,,0,30,30,mftrust,Thanks,2024-05-06 15:07:08.050004,1,,,420.0,420.0,,,,,,,4rLR t7Ph,bdmdei36,,,,,0,0.0,1.0,mftrust,1,,135.0,0.0,,,,,7,Let's work together effectively to maximize our points!,70.0,105.0,1,1,,140.0,0.0,,,,,7,,80.0,120.0,2,1,,145.0,0.0,3,1,2,"The experiment was insightful, especially seeing the impact of investment decisions on outcomes. It would be interesting to know more about the strategy behind the manager's decisions.",7,,90.0,135.0,3
14,73lbigvg,,0,30,30,mftrust,Thanks,2024-05-06 15:07:06.462917,1,,,360.0,360.0,,,,,,,cAdS J7i6,bdmdei36,,,,,0,0.0,1.0,mftrust,2,,105.0,0.0,,,,,7,Let's work together effectively to maximize our points!,70.0,105.0,1,2,,120.0,0.0,,,,,7,,80.0,120.0,2,2,,135.0,0.0,3,2,1,The experiment was a fascinating insight into decision-making and the importance of trust and cooperation in financial relationships. It would be interesting to see how different strategies affect the outcomes in a wider study.,7,,90.0,135.0,3
15,uwug2tso,,0,30,30,mftrust,Thanks,2024-05-06 15:07:05.883075,1,,,419.0,419.0,,,,,,,hcZ1 uJXn,bdmdei36,,,,,0,0.0,1.0,mftrust,1,,137.0,0.0,,,,,8,Let's work together to ensure mutual benefits. I aim to manage our investments wisely to maximize our returns. Looking forward to a successful collaboration.,75.0,112.0,1,1,,140.0,0.0,,,,,8,,80.0,120.0,2,1,,142.0,0.0,3,1,1,The experiment was intriguing and provided insights into decision-making processes in economic games. It would be interesting to see statistical outcomes of different strategies.,8,,85.0,127.0,3
16,fipnwcn5,,0,30,30,mftrust,Thanks,2024-05-06 15:07:13.354044,1,,,361.0,361.0,,,,,,,Jh0L bsdQ,bdmdei36,,,,,0,0.0,1.0,mftrust,2,,113.0,0.0,,,,,8,Let's work together to ensure mutual benefits. I aim to manage our investments wisely to maximize our returns. Looking forward to a successful collaboration.,75.0,112.0,1,2,,120.0,0.0,,,,,8,,80.0,120.0,2,2,,128.0,0.0,3,2,2,"Overall, the experiment was engaging. It would be interesting to know more about the strategies employed by other participants, especially in terms of dividing the dividends.",8,,85.0,127.0,3
17,jstkz1zu,,0,30,30,mftrust,Thanks,2024-05-06 15:07:08.524041,1,,,419.0,419.0,,,,,,,ICTU quuO,bdmdei36,,,,,0,0.0,1.0,mftrust,1,,137.0,0.0,,,,,9,Let's aim for a win-win situation and maximize our points!,75.0,112.0,1,1,,140.0,0.0,,,,,9,,80.0,120.0,2,1,,142.0,0.0,3,1,2,The experiment was engaging and the mechanics of investment and returns were clear. Understanding more about how the multiplier effect works and having some insights into the decision-making process of the manager (whether bot or not) could enhance the experience.,9,,85.0,127.0,3
18,juduyz5b,,0,30,30,mftrust,Thanks,2024-05-06 15:07:11.779756,1,,,361.0,361.0,,,,,,,zqAC 1MJp,bdmdei36,,,,,0,0.0,1.0,mftrust,2,,113.0,0.0,,,,,9,Let's aim for a win-win situation and maximize our points!,75.0,112.0,1,2,,120.0,0.0,,,,,9,,80.0,120.0,2,2,,128.0,0.0,3,2,1,The experiment was engaging and offered valuable insights into decision-making and trust-building in investment scenarios. It would be interesting to see more variations in the investment options and the multiplier effects to explore different strategies.,9,,85.0,127.0,3
19,6wfvsq52,,0,30,30,mftrust,Thanks,2024-05-06 15:07:18.068968,1,,,420.0,420.0,,,,,,,zoUU G0bd,bdmdei36,,,,,0,0.0,1.0,mftrust,1,,135.0,0.0,,,,,10,I'm committed to making the most of our investments and aim to return significant dividends. Let's work together for mutual benefit.,70.0,105.0,1,1,,140.0,0.0,,,,,10,,80.0,120.0,2,1,,145.0,0.0,3,1,1,,10,,90.0,135.0,3
20,hfwhfx12,,0,30,30,mftrust,Thanks,2024-05-06 15:07:08.730857,1,,,360.0,360.0,,,,,,,lIoM AsRm,bdmdei36,,,,,0,0.0,1.0,mftrust,2,,105.0,0.0,,,,,10,I'm committed to making the most of our investments and aim to return significant dividends. Let's work together for mutual benefit.,70.0,105.0,1,2,,120.0,0.0,,,,,10,,80.0,120.0,2,2,,135.0,0.0,3,2,2,The experiment was intriguing. It provided insight into decision-making in an economic game setup. More clarity on how the points system works and the implications of the multiplier from the beginning may help participants to strategize better.,10,,90.0,135.0,3
21,qapt5gec,,0,30,30,mftrust,Thanks,2024-05-06 15:07:17.647991,1,,,420.0,420.0,,,,,,,vIn8 h44I,bdmdei36,,,,,0,0.0,1.0,mftrust,1,,135.0,0.0,,,,,11,Let's collaborate to maximize our points!,70.0,105.0,1,1,,140.0,0.0,,,,,11,,80.0,120.0,2,1,,145.0,0.0,3,1,1,The experience was engaging and provided insight into investment strategies. It was interesting to see how the returns changed based on the investment and the multiplier. More clarity on the multiplier's role from the onset would be helpful.,11,,90.0,135.0,3
22,rl0mfpom,,0,30,30,mftrust,Thanks,2024-05-06 15:07:11.758218,1,,,360.0,360.0,,,,,,,a9OS R5jB,bdmdei36,,,,,0,0.0,1.0,mftrust,2,,105.0,0.0,,,,,11,Let's collaborate to maximize our points!,70.0,105.0,1,2,,120.0,0.0,,,,,11,,80.0,120.0,2,2,,135.0,0.0,3,2,1,,11,,90.0,135.0,3
23,z2qnesmp,,0,30,30,mftrust,Thanks,2024-05-06 15:07:15.355983,1,,,419.0,419.0,,,,,,,pGgF mDQl,bdmdei36,,,,,0,0.0,1.0,mftrust,1,,137.0,0.0,,,,,12,Looking forward to collaborating effectively for mutual gain. Let's aim for the best possible outcome together!,75.0,112.0,1,1,,140.0,0.0,,,,,12,,80.0,120.0,2,1,,142.0,0.0,3,1,1,,12,,85.0,127.0,3
24,2m6e4n0y,,0,30,30,mftrust,Thanks,2024-05-06 15:07:13.327051,1,,,361.0,361.0,,,,,,,Urfn xYsV,bdmdei36,,,,,0,0.0,1.0,mftrust,2,,113.0,0.0,,,,,12,Looking forward to collaborating effectively for mutual gain. Let's aim for the best possible outcome together!,75.0,112.0,1,2,,120.0,0.0,,,,,12,,80.0,120.0,2,2,,128.0,0.0,3,2,1,The experiment was engaging and provided insight into decision-making processes in economic games. It would be interesting to know more about the strategies used by both managers and investors.,12,,85.0,127.0,3
25,0ifwg8yu,,0,30,30,mftrust,Thanks,2024-05-06 15:07:15.956421,1,,,420.0,420.0,,,,,,,Py9D Sma8,bdmdei36,,,,,0,0.0,1.0,mftrust,1,,135.0,0.0,,,,,13,I aim to manage our resources wisely to ensure mutual benefit. Looking forward to a successful collaboration.,70.0,105.0,1,1,,140.0,0.0,,,,,13,,80.0,120.0,2,1,,145.0,0.0,3,1,1,The experiment was engaging and illustrated the dynamics of trust and decision-making between investors and managers in a simplified setting.,13,,90.0,135.0,3
26,qb0gybdv,,0,30,30,mftrust,Thanks,2024-05-06 15:07:16.711169,1,,,360.0,360.0,,,,,,,JYJz z4Zv,bdmdei36,,,,,0,0.0,1.0,mftrust,2,,105.0,0.0,,,,,13,I aim to manage our resources wisely to ensure mutual benefit. Looking forward to a successful collaboration.,70.0,105.0,1,2,,120.0,0.0,,,,,13,,80.0,120.0,2,2,,135.0,0.0,3,2,1,The game was an interesting examination of trust and economic decision-making. I would be curious about the average amounts returned by managers and whether participants believed they were interacting with a human or a bot.,13,,90.0,135.0,3
27,s4h6d2yy,,0,30,30,mftrust,Thanks,2024-05-06 15:07:08.298268,1,,,420.0,420.0,,,,,,,sJn4 aa6J,bdmdei36,,,,,0,0.0,1.0,mftrust,1,,135.0,0.0,,,,,14,Let's collaborate effectively to ensure mutual benefits from our investment decisions. I value open communication and will aim to make choices that benefit us both.,70.0,105.0,1,1,,140.0,0.0,,,,,14,,80.0,120.0,2,1,,145.0,0.0,3,1,2,,14,,90.0,135.0,3
28,hylq2zvz,,0,30,30,mftrust,Thanks,2024-05-06 15:07:16.668116,1,,,360.0,360.0,,,,,,,Hyn5 lAKA,bdmdei36,,,,,0,0.0,1.0,mftrust,2,,105.0,0.0,,,,,14,Let's collaborate effectively to ensure mutual benefits from our investment decisions. I value open communication and will aim to make choices that benefit us both.,70.0,105.0,1,2,,120.0,0.0,,,,,14,,80.0,120.0,2,2,,135.0,0.0,3,2,2,,14,,90.0,135.0,3
29,q6t77nz4,,0,30,30,mftrust,Thanks,2024-05-06 15:07:13.883060,1,,,429.0,429.0,,,,,,,FptO atVu,bdmdei36,,,,,0,0.0,1.0,mftrust,1,,137.0,0.0,,,,,15,I plan to distribute fair dividends based on our combined investment efforts. Let's collaborate effectively to maximize our returns.,75.0,112.0,1,1,,145.0,0.0,,,,,15,,90.0,135.0,2,1,,147.0,0.0,3,1,1,The experiment was engaging and the dynamics between investor and manager roles added depth to decision-making. Would be interesting to see variations in the game with different multipliers or investment options.,15,,95.0,142.0,3
30,zu03yqso,,0,30,30,mftrust,Thanks,2024-05-06 15:07:15.323457,1,,,391.0,391.0,,,,,,,8nbP 2SR9,bdmdei36,,,,,0,0.0,1.0,mftrust,2,,113.0,0.0,,,,,15,I plan to distribute fair dividends based on our combined investment efforts. Let's collaborate effectively to maximize our returns.,75.0,112.0,1,2,,135.0,0.0,,,,,15,,90.0,135.0,2,2,,143.0,0.0,3,2,2,No specific feedback at this time.,15,,95.0,142.0,3
31,ow7e2hib,,0,30,30,mftrust,Thanks,2024-05-06 15:07:16.722490,1,,,422.0,422.0,,,,,,,vWdW KbAf,bdmdei36,,,,,0,0.0,1.0,mftrust,1,,137.0,0.0,,,,,16,Let's work together to make the most of this opportunity. I'm committed to transparency and fairness in dividing the returns on your investment. Looking forward to a great partnership!,75.0,112.0,1,1,,140.0,0.0,,,,,16,,80.0,120.0,2,1,,145.0,0.0,3,1,1,The experiment was engaging and thought-provoking. It would be interesting to see more about the decision-making process from the manager's perspective.,16,,90.0,135.0,3
32,zdo2wwt8,,0,30,30,mftrust,Thanks,2024-05-06 15:07:14.954330,1,,,368.0,368.0,,,,,,,83gM F83o,bdmdei36,,,,,0,0.0,1.0,mftrust,2,,113.0,0.0,,,,,16,Let's work together to make the most of this opportunity. I'm committed to transparency and fairness in dividing the returns on your investment. Looking forward to a great partnership!,75.0,112.0,1,2,,120.0,0.0,,,,,16,,80.0,120.0,2,2,,135.0,0.0,3,2,1,"The experiment was insightful, providing a unique perspective on decision-making in an economic setting. More clarity on the relation between investments and returns could enhance understanding for future participants.",16,,90.0,135.0,3
33,qytsgd21,,0,30,30,mftrust,Thanks,2024-05-06 15:07:15.297312,1,,,419.0,419.0,,,,,,,lGVF mWCE,bdmdei36,,,,,0,0.0,1.0,mftrust,1,,137.0,0.0,,,,,17,Looking forward to a successful collaboration. Let's aim for high returns!,75.0,112.0,1,1,,140.0,0.0,,,,,17,,80.0,120.0,2,1,,142.0,0.0,3,1,2,The experiment was intriguing and provided valuable insights into decision-making and trust-building in an investment setting. It would be interesting to know more about how the manager's decisions were made to understand the dynamics from both sides of the experiment.,17,,85.0,127.0,3
34,d8sj7vm2,,0,30,30,mftrust,Thanks,2024-05-06 15:07:15.214314,1,,,361.0,361.0,,,,,,,rQGI Lk4W,bdmdei36,,,,,0,0.0,1.0,mftrust,2,,113.0,0.0,,,,,17,Looking forward to a successful collaboration. Let's aim for high returns!,75.0,112.0,1,2,,120.0,0.0,,,,,17,,80.0,120.0,2,2,,128.0,0.0,3,2,2,The experiment was engaging and provided insightful perspectives on decision-making and trust-building in financial transactions. The multiplier mechanism was particularly interesting as it added complexity to resource allocation strategies.,17,,85.0,127.0,3
35,it1i8o85,,0,30,30,mftrust,Thanks,2024-05-06 15:07:16.369162,1,,,422.0,422.0,,,,,,,Chsx NRmb,bdmdei36,,,,,0,0.0,1.0,mftrust,1,,137.0,0.0,,,,,18,Let's work together to make the most of our investments and returns.,75.0,112.0,1,1,,140.0,0.0,,,,,18,,80.0,120.0,2,1,,145.0,0.0,3,1,1,"The experiment was engaging and thought-provoking, especially in terms of decision-making and trust-building between unknown parties. It would be interesting to see the results and any patterns in behavior among participants.",18,,90.0,135.0,3
36,vae8o4dj,,0,30,30,mftrust,Thanks,2024-05-06 15:07:14.566332,1,,,368.0,368.0,,,,,,,hlpY 0AzJ,bdmdei36,,,,,0,0.0,1.0,mftrust,2,,113.0,0.0,,,,,18,Let's work together to make the most of our investments and returns.,75.0,112.0,1,2,,120.0,0.0,,,,,18,,80.0,120.0,2,2,,135.0,0.0,3,2,1,The game was engaging and presented an interesting exploration into the dynamics of trust and decision-making in an investment context. It might be helpful to have more information on how these decisions impact the overall game outcome beyond just the personal and investor gains.,18,,90.0,135.0,3
