participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,participant.wealth,participant.comprehension_check,participant.comprehension_check1,participant.comprehension_check2,participant.manipulation_check,participant.human_check,participant.feedback,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo,session.config.real_world_currency_per_point,session.config.participation_fee,session.config.name,deception.1.player.id_in_group,deception.1.player.role,deception.1.player.payoff,deception.1.player.comprehension_check1,deception.1.player.comprehension_check2,deception.1.player.human_check,deception.1.player.feedback,deception.1.group.id_in_subsession,deception.1.group.message,deception.1.group.choice,deception.1.subsession.round_number,fdeception.1.player.id_in_group,fdeception.1.player.role,fdeception.1.player.payoff,fdeception.1.player.comprehension_check1,fdeception.1.player.comprehension_check2,fdeception.1.player.human_check,fdeception.1.player.feedback,fdeception.1.group.id_in_subsession,fdeception.1.group.message,fdeception.1.group.choice,fdeception.1.subsession.round_number
1,h3mm2dwg,,0,6,6,fdeception,PayoffThanks,2024-05-01 01:51:29.843315,1,,,6.0,,,,,,,,1lsfebel,,,,,0,1.0,0.0,fdeception,,,,,,,,,,,,1,,6.0,2,1,2,The experiment provided an interesting insight into decision-making and communication strategies within a corporate setting. It would be beneficial to see the outcomes based on different strategies employed by participants.,1,2,2,1
2,x1s5w8ze,,0,6,6,fdeception,PayoffThanks,2024-05-01 01:51:29.871970,1,,,5.0,,,,,,,,1lsfebel,,,,,0,1.0,0.0,fdeception,,,,,,,,,,,,2,,5.0,1,2,1,No specific feedback.,1,2,2,1
3,vyxmbn9t,,0,6,6,fdeception,PayoffThanks,2024-05-01 01:51:30.257642,1,,,6.0,,,,,,,,1lsfebel,,,,,0,1.0,0.0,fdeception,,,,,,,,,,,,1,,6.0,1,1,1,This was an interesting experiment that allowed for strategic thinking and decision-making.,2,2,2,1
4,y5ev9m0s,,0,6,6,fdeception,PayoffThanks,2024-05-01 01:51:29.608829,1,,,5.0,,,,,,,,1lsfebel,,,,,0,1.0,0.0,fdeception,,,,,,,,,,,,2,,5.0,1,2,1,No specific feedback,2,2,2,1
5,qgpb20km,,0,6,6,fdeception,PayoffThanks,2024-05-01 01:51:30.099310,1,,,6.0,,,,,,,,1lsfebel,,,,,0,1.0,0.0,fdeception,,,,,,,,,,,,1,,6.0,2,1,1,It was an interesting experiment. I enjoyed considering the strategic aspect of how best to influence the firm's decision.,3,2,2,1
6,yzgk010h,,0,6,6,fdeception,PayoffThanks,2024-05-01 01:51:30.103791,1,,,5.0,,,,,,,,1lsfebel,,,,,0,1.0,0.0,fdeception,,,,,,,,,,,,2,,5.0,1,2,1,No specific feedback.,3,2,2,1
7,322cg9j5,,0,6,6,fdeception,PayoffThanks,2024-05-01 01:51:30.360841,1,,,6.0,,,,,,,,1lsfebel,,,,,0,1.0,0.0,fdeception,,,,,,,,,,,,1,,6.0,1,1,1,,4,2,2,1
8,gzsfc2q4,,0,6,6,fdeception,PayoffThanks,2024-05-01 01:51:29.970960,1,,,5.0,,,,,,,,1lsfebel,,,,,0,1.0,0.0,fdeception,,,,,,,,,,,,2,,5.0,1,2,1,No feedback,4,2,2,1
9,an562phl,,0,6,6,fdeception,PayoffThanks,2024-05-01 01:51:29.812863,1,,,5.0,,,,,,,,1lsfebel,,,,,0,1.0,0.0,fdeception,,,,,,,,,,,,1,,5.0,1,1,1,No specific feedback,5,1,1,1
10,j9tduc45,,0,6,6,fdeception,PayoffThanks,2024-05-01 01:51:30.578190,1,,,6.0,,,,,,,,1lsfebel,,,,,0,1.0,0.0,fdeception,,,,,,,,,,,,2,,6.0,1,2,1,This experiment provided insightful observations into decision-making processes and trust between anonymous participants. Exploring the dynamics between the firm and the accountant roles offers valuable perspectives on communication and strategic choices without complete information.,5,1,1,1
1,72jrnu3m,,0,6,6,deception,PayoffThanks,2024-05-01 01:52:34.160674,1,,,6.0,,,,,,,,r6m4acgv,,,,,0,1.0,0.0,deception,1,,6.0,1,1,1,This was an interesting experiment on decision-making and the influence of messages on choices.,1,2,2,1,,,,,,,,,,,
2,9pthf2mc,,0,6,6,deception,PayoffThanks,2024-05-01 01:52:32.824327,1,,,5.0,,,,,,,,r6m4acgv,,,,,0,1.0,0.0,deception,2,,5.0,1,2,1,"The experiment was intriguing, and it tested trust and decision-making without complete information. It would be interesting to know the rationale behind participant A's advice after the experiment.",1,2,2,1,,,,,,,,,,,
3,bbrfsp5r,,0,6,6,deception,PayoffThanks,2024-05-01 01:52:32.751392,1,,,5.0,,,,,,,,r6m4acgv,,,,,0,1.0,0.0,deception,1,,5.0,2,1,1,"The experiment was intriguing, especially in understanding how communication can be used to influence decisions in unknown payoff scenarios. It would be interesting to see how different messages affect participant B's choices.",2,1,1,1,,,,,,,,,,,
4,7momonkx,,0,6,6,deception,PayoffThanks,2024-05-01 01:52:32.753571,1,,,6.0,,,,,,,,r6m4acgv,,,,,0,1.0,0.0,deception,2,,6.0,1,2,2,N/A,2,1,1,1,,,,,,,,,,,
5,tv81vngb,,0,6,6,deception,PayoffThanks,2024-05-01 01:52:34.845096,1,,,6.0,,,,,,,,r6m4acgv,,,,,0,1.0,0.0,deception,1,,6.0,2,1,1,"The instructions were clear, and the decision-making process was interesting. It would be beneficial to see the outcomes of the decisions or any resulting feedback.",3,2,2,1,,,,,,,,,,,
6,32a6x3zg,,0,6,6,deception,PayoffThanks,2024-05-01 01:52:32.755257,1,,,5.0,,,,,,,,r6m4acgv,,,,,0,1.0,0.0,deception,2,,5.0,1,2,1,No specific feedback,3,2,2,1,,,,,,,,,,,
7,gb6h9z5a,,0,6,6,deception,PayoffThanks,2024-05-01 01:52:33.330031,1,,,6.0,,,,,,,,r6m4acgv,,,,,0,1.0,0.0,deception,1,,6.0,2,1,1,,4,2,2,1,,,,,,,,,,,
8,kdgcq5uh,,0,6,6,deception,PayoffThanks,2024-05-01 01:52:32.416933,1,,,5.0,,,,,,,,r6m4acgv,,,,,0,1.0,0.0,deception,2,,5.0,1,2,1,The experiment was engaging and made me think carefully about my decisions. More clarity on how points are calculated may improve the experience.,4,2,2,1,,,,,,,,,,,
9,sxi3ztec,,0,6,6,deception,PayoffThanks,2024-05-01 01:52:32.756697,1,,,6.0,,,,,,,,r6m4acgv,,,,,0,1.0,0.0,deception,1,,6.0,2,1,1,No specific feedback,5,2,2,1,,,,,,,,,,,
10,6hid153p,,0,6,6,deception,PayoffThanks,2024-05-01 01:52:32.586408,1,,,5.0,,,,,,,,r6m4acgv,,,,,0,1.0,0.0,deception,2,,5.0,1,2,1,No specific feedback.,5,2,2,1,,,,,,,,,,,
1,qcpouxmw,,0,6,6,fdeception,PayoffThanks,2024-05-01 01:53:23.643349,1,,,6.0,,,,,,,,o5enpkoj,,,,,0,1.0,0.0,fdeception,,,,,,,,,,,,1,,6.0,2,1,1,,1,2,2,1
2,saztkr7e,,0,6,6,fdeception,PayoffThanks,2024-05-01 01:53:23.817191,1,,,5.0,,,,,,,,o5enpkoj,,,,,0,1.0,0.0,fdeception,,,,,,,,,,,,2,,5.0,1,2,2,No feedback,1,2,2,1
3,ooltdo08,,0,6,6,fdeception,PayoffThanks,2024-05-01 01:53:23.810373,1,,,6.0,,,,,,,,o5enpkoj,,,,,0,1.0,0.0,fdeception,,,,,,,,,,,,1,,6.0,1,1,1,,2,2,2,1
4,g0ue3uoa,,0,6,6,fdeception,PayoffThanks,2024-05-01 01:53:24.162563,1,,,5.0,,,,,,,,o5enpkoj,,,,,0,1.0,0.0,fdeception,,,,,,,,,,,,2,,5.0,1,2,1,The clarity in the advice from the accountant role could be enhanced to better facilitate decision-making.,2,2,2,1
5,kaupbpl7,,0,6,6,fdeception,PayoffThanks,2024-05-01 01:53:22.578540,1,,,6.0,,,,,,,,o5enpkoj,,,,,0,1.0,0.0,fdeception,,,,,,,,,,,,1,,6.0,1,1,1,No additional feedback,3,2,2,1
6,jkvttxaq,,0,6,6,fdeception,PayoffThanks,2024-05-01 01:53:23.815443,1,,,5.0,,,,,,,,o5enpkoj,,,,,0,1.0,0.0,fdeception,,,,,,,,,,,,2,,5.0,1,2,1,No specific feedback.,3,2,2,1
7,42cpo2f6,,0,6,6,fdeception,PayoffThanks,2024-05-01 01:53:23.812142,1,,,6.0,,,,,,,,o5enpkoj,,,,,0,1.0,0.0,fdeception,,,,,,,,,,,,1,,6.0,1,1,1,No feedback,4,2,2,1
8,3boytx8h,,0,6,6,fdeception,PayoffThanks,2024-05-01 01:53:25.569793,1,,,5.0,,,,,,,,o5enpkoj,,,,,0,1.0,0.0,fdeception,,,,,,,,,,,,2,,5.0,2,2,1,The experiment was engaging and the instructions were clear. It would be interesting to see the results aggregated from all participants.,4,2,2,1
9,3uj4zo6x,,0,6,6,fdeception,PayoffThanks,2024-05-01 01:53:23.813394,1,,,6.0,,,,,,,,o5enpkoj,,,,,0,1.0,0.0,fdeception,,,,,,,,,,,,1,,6.0,2,1,1,Not applicable,5,2,2,1
10,0148p8kx,,0,6,6,fdeception,PayoffThanks,2024-05-01 01:53:23.140184,1,,,5.0,,,,,,,,o5enpkoj,,,,,0,1.0,0.0,fdeception,,,,,,,,,,,,2,,5.0,1,2,2,No feedback,5,2,2,1
1,2fz9lebj,,0,6,6,deception,PayoffThanks,2024-05-01 01:54:33.336993,1,,,6.0,,,,,,,,hi5gyl45,,,,,0,1.0,0.0,deception,1,,6.0,2,1,1,No specific feedback,1,2,2,1,,,,,,,,,,,
2,42806286,,0,6,6,deception,PayoffThanks,2024-05-01 01:54:33.566431,1,,,5.0,,,,,,,,hi5gyl45,,,,,0,1.0,0.0,deception,2,,5.0,1,2,1,No specific feedback,1,2,2,1,,,,,,,,,,,
3,5dkjz8os,,0,6,6,deception,PayoffThanks,2024-05-01 01:54:33.569019,1,,,6.0,,,,,,,,hi5gyl45,,,,,0,1.0,0.0,deception,1,,6.0,2,1,1,The experiment was an interesting exploration of decision-making and strategy. It would be fascinating to see how different messages influence the choices of participant B.,2,2,2,1,,,,,,,,,,,
4,ee0fmgsx,,0,6,6,deception,PayoffThanks,2024-05-01 01:54:33.169738,1,,,5.0,,,,,,,,hi5gyl45,,,,,0,1.0,0.0,deception,2,,5.0,1,2,1,Experiment was engaging and provided interesting insights into decision making and trust.,2,2,2,1,,,,,,,,,,,
5,aq242b7p,,0,6,6,deception,PayoffThanks,2024-05-01 01:54:33.571133,1,,,5.0,,,,,,,,hi5gyl45,,,,,0,1.0,0.0,deception,1,,5.0,1,1,1,,3,1,1,1,,,,,,,,,,,
6,j3x33puf,,0,6,6,deception,PayoffThanks,2024-05-01 01:54:35.266510,1,,,6.0,,,,,,,,hi5gyl45,,,,,0,1.0,0.0,deception,2,,6.0,1,2,1,The experiment provides interesting insight into decision-making with minimal information.,3,1,1,1,,,,,,,,,,,
7,i0s01i98,,0,6,6,deception,PayoffThanks,2024-05-01 01:54:33.173160,1,,,6.0,,,,,,,,hi5gyl45,,,,,0,1.0,0.0,deception,1,,6.0,2,1,1,No specific feedback.,4,2,2,1,,,,,,,,,,,
8,feiee48m,,0,6,6,deception,PayoffThanks,2024-05-01 01:54:35.268393,1,,,5.0,,,,,,,,hi5gyl45,,,,,0,1.0,0.0,deception,2,,5.0,1,2,1,No feedback,4,2,2,1,,,,,,,,,,,
9,mf4sv33a,,0,6,6,deception,PayoffThanks,2024-05-01 01:54:33.332121,1,,,6.0,,,,,,,,hi5gyl45,,,,,0,1.0,0.0,deception,1,,6.0,2,1,1,The experiment was engaging and made me think strategically about how to influence another's decision for my benefit.,5,2,2,1,,,,,,,,,,,
10,m8soa4q2,,0,6,6,deception,PayoffThanks,2024-05-01 01:54:33.335480,1,,,5.0,,,,,,,,hi5gyl45,,,,,0,1.0,0.0,deception,2,,5.0,1,2,1,No specific feedback.,5,2,2,1,,,,,,,,,,,
1,w77gtfyg,,0,6,6,fdeception,PayoffThanks,2024-05-01 01:55:46.569325,1,,,5.0,,,,,,,,qxrwqou2,,,,,0,1.0,0.0,fdeception,,,,,,,,,,,,1,,5.0,1,1,1,No specific feedback,1,1,1,1
2,53jm13lr,,0,6,6,fdeception,PayoffThanks,2024-05-01 01:55:48.507293,1,,,6.0,,,,,,,,qxrwqou2,,,,,0,1.0,0.0,fdeception,,,,,,,,,,,,2,,6.0,1,2,2,Not applicable,1,1,1,1
3,d6r173ba,,0,6,6,fdeception,PayoffThanks,2024-05-01 01:55:48.681653,1,,,6.0,,,,,,,,qxrwqou2,,,,,0,1.0,0.0,fdeception,,,,,,,,,,,,1,,6.0,1,1,1,,2,2,2,1
4,gkd6te1q,,0,6,6,fdeception,PayoffThanks,2024-05-01 01:55:46.735173,1,,,5.0,,,,,,,,qxrwqou2,,,,,0,1.0,0.0,fdeception,,,,,,,,,,,,2,,5.0,1,2,1,No specific feedback,2,2,2,1
5,9agvtjco,,0,6,6,fdeception,PayoffThanks,2024-05-01 01:55:46.736717,1,,,6.0,,,,,,,,qxrwqou2,,,,,0,1.0,0.0,fdeception,,,,,,,,,,,,1,,6.0,1,1,1,N/A,3,2,2,1
6,33xis2kx,,0,6,6,fdeception,PayoffThanks,2024-05-01 01:55:48.835382,1,,,5.0,,,,,,,,qxrwqou2,,,,,0,1.0,0.0,fdeception,,,,,,,,,,,,2,,5.0,1,2,1,No specific feedback,3,2,2,1
7,h3jrpvdg,,0,6,6,fdeception,PayoffThanks,2024-05-01 01:55:48.503582,1,,,6.0,,,,,,,,qxrwqou2,,,,,0,1.0,0.0,fdeception,,,,,,,,,,,,1,,6.0,1,1,2,"The experiment clearly demonstrates the importance of information asymmetry in decision-making processes. However, clearer instructions and a brief overview of potential outcomes would enhance the participant's understanding and engagement in the decision-making process.",4,2,2,1
8,di4tj14o,,0,6,6,fdeception,PayoffThanks,2024-05-01 01:55:48.833832,1,,,5.0,,,,,,,,qxrwqou2,,,,,0,1.0,0.0,fdeception,,,,,,,,,,,,2,,5.0,1,2,1,No specific feedback,4,2,2,1
9,kd0ta57g,,0,6,6,fdeception,PayoffThanks,2024-05-01 01:55:48.677720,1,,,6.0,,,,,,,,qxrwqou2,,,,,0,1.0,0.0,fdeception,,,,,,,,,,,,1,,6.0,1,1,1,The game was engaging and made me think strategically about how to communicate the benefits of the investments.,5,2,2,1
10,oa6orvsg,,0,6,6,fdeception,PayoffThanks,2024-05-01 01:55:46.733677,1,,,5.0,,,,,,,,qxrwqou2,,,,,0,1.0,0.0,fdeception,,,,,,,,,,,,2,,5.0,1,2,1,This was an interesting experiment. It would be helpful to understand more about how the advice from the accountant impacts decisions and trust between the parties involved.,5,2,2,1
1,f7l2sdxl,,0,6,6,deception,PayoffThanks,2024-05-01 01:56:53.853675,1,,,6.0,,,,,,,,uldkk1la,,,,,0,1.0,0.0,deception,1,,6.0,2,1,1,"The experiment was intriguing, with a thoughtful design on decision-making and influence strategies. It would be interesting to see how different messaging strategies impact participant choices differently.",1,2,2,1,,,,,,,,,,,
2,f8p7g9yr,,0,6,6,deception,PayoffThanks,2024-05-01 01:56:55.771094,1,,,5.0,,,,,,,,uldkk1la,,,,,0,1.0,0.0,deception,2,,5.0,1,2,1,No specific feedback at this time.,1,2,2,1,,,,,,,,,,,
3,jb8eww02,,0,6,6,deception,PayoffThanks,2024-05-01 01:56:53.849560,1,,,6.0,,,,,,,,uldkk1la,,,,,0,1.0,0.0,deception,1,,6.0,2,1,1,No specific feedback.,2,2,2,1,,,,,,,,,,,
4,4kcaua9g,,0,6,6,deception,PayoffThanks,2024-05-01 01:56:54.245522,1,,,5.0,,,,,,,,uldkk1la,,,,,0,1.0,0.0,deception,2,,5.0,1,2,1,No specific feedback,2,2,2,1,,,,,,,,,,,
5,3yns4cn7,,0,6,6,deception,PayoffThanks,2024-05-01 01:56:53.852114,1,,,6.0,,,,,,,,uldkk1la,,,,,0,1.0,0.0,deception,1,,6.0,2,1,1,No feedback,3,2,2,1,,,,,,,,,,,
6,6e6ypdc3,,0,6,6,deception,PayoffThanks,2024-05-01 01:56:53.314242,1,,,5.0,,,,,,,,uldkk1la,,,,,0,1.0,0.0,deception,2,,5.0,1,2,2,No specific feedback,3,2,2,1,,,,,,,,,,,
7,9ot2yfob,,0,6,6,deception,PayoffThanks,2024-05-01 01:56:53.855792,1,,,6.0,,,,,,,,uldkk1la,,,,,0,1.0,0.0,deception,1,,6.0,2,1,1,No specific feedback,4,2,2,1,,,,,,,,,,,
8,2qqrlf5q,,0,6,6,deception,PayoffThanks,2024-05-01 01:56:53.344414,1,,,5.0,,,,,,,,uldkk1la,,,,,0,1.0,0.0,deception,2,,5.0,1,2,1,No specific feedback,4,2,2,1,,,,,,,,,,,
9,aziv5ehx,,0,6,6,deception,PayoffThanks,2024-05-01 01:56:53.879896,1,,,5.0,,,,,,,,uldkk1la,,,,,0,1.0,0.0,deception,1,,5.0,1,1,2,No specific feedback,5,1,1,1,,,,,,,,,,,
10,xvyvme0q,,0,6,6,deception,PayoffThanks,2024-05-01 01:56:55.448411,1,,,6.0,,,,,,,,uldkk1la,,,,,0,1.0,0.0,deception,2,,6.0,1,2,2,No specific feedback.,5,1,1,1,,,,,,,,,,,
1,5kws6eum,,0,6,6,fdeception,PayoffThanks,2024-05-01 01:57:48.770395,1,,,6.0,,,,,,,,9moiq0ot,,,,,0,1.0,0.0,fdeception,,,,,,,,,,,,1,,6.0,2,1,1,Not applicable,1,2,2,1
2,7sfebknc,,0,6,6,fdeception,PayoffThanks,2024-05-01 01:57:47.316550,1,,,5.0,,,,,,,,9moiq0ot,,,,,0,1.0,0.0,fdeception,,,,,,,,,,,,2,,5.0,2,2,1,No specific feedback.,1,2,2,1
3,263yxiu1,,0,6,6,fdeception,PayoffThanks,2024-05-01 01:57:46.990185,1,,,5.0,,,,,,,,9moiq0ot,,,,,0,1.0,0.0,fdeception,,,,,,,,,,,,1,,5.0,1,1,1,,2,1,1,1
4,36jwkrla,,0,6,6,fdeception,PayoffThanks,2024-05-01 01:57:48.934161,1,,,6.0,,,,,,,,9moiq0ot,,,,,0,1.0,0.0,fdeception,,,,,,,,,,,,2,,6.0,1,2,1,The experience was intriguing; suggestions for improvement could include clearer instructions on the impact of each investment choice.,2,1,1,1
5,o9i0k1br,,0,6,6,fdeception,PayoffThanks,2024-05-01 01:57:47.150510,1,,,6.0,,,,,,,,9moiq0ot,,,,,0,1.0,0.0,fdeception,,,,,,,,,,,,1,,6.0,2,1,1,An interesting experiment that makes one ponder the strategic choices in corporate communication.,3,2,2,1
6,er2j05ha,,0,6,6,fdeception,PayoffThanks,2024-05-01 01:57:46.869707,1,,,5.0,,,,,,,,9moiq0ot,,,,,0,1.0,0.0,fdeception,,,,,,,,,,,,2,,5.0,1,2,1,"The game was intriguing, encouraging strategic thinking. However, clarity on the points distribution for each choice would enhance decision-making.",3,2,2,1
7,qjiqensw,,0,6,6,fdeception,PayoffThanks,2024-05-01 01:57:49.248383,1,,,6.0,,,,,,,,9moiq0ot,,,,,0,1.0,0.0,fdeception,,,,,,,,,,,,1,,6.0,1,1,1,No specific feedback,4,2,2,1
8,cinnbivo,,0,6,6,fdeception,PayoffThanks,2024-05-01 01:57:47.318125,1,,,5.0,,,,,,,,9moiq0ot,,,,,0,1.0,0.0,fdeception,,,,,,,,,,,,2,,5.0,2,2,2,No feedback,4,2,2,1
9,ei4oiic8,,0,6,6,fdeception,PayoffThanks,2024-05-01 01:57:46.988310,1,,,6.0,,,,,,,,9moiq0ot,,,,,0,1.0,0.0,fdeception,,,,,,,,,,,,1,,6.0,1,1,1,,5,2,2,1
10,k2g5rtsn,,0,6,6,fdeception,PayoffThanks,2024-05-01 01:57:47.340825,1,,,5.0,,,,,,,,9moiq0ot,,,,,0,1.0,0.0,fdeception,,,,,,,,,,,,2,,5.0,1,2,1,No specific feedback.,5,2,2,1
1,25j6goly,,0,6,6,deception,PayoffThanks,2024-05-01 01:58:49.286099,1,,,5.0,,,,,,,,m4gaqt5o,,,,,0,1.0,0.0,deception,1,,5.0,2,1,1,No feedback,1,1,1,1,,,,,,,,,,,
2,xngqwv1m,,0,6,6,deception,PayoffThanks,2024-05-01 01:58:48.845127,1,,,6.0,,,,,,,,m4gaqt5o,,,,,0,1.0,0.0,deception,2,,6.0,1,2,1,The experiment was intriguing. It highlighted how trust and decision-making can be influenced by limited information and interaction with others.,1,1,1,1,,,,,,,,,,,
3,didisbq2,,0,6,6,deception,PayoffThanks,2024-05-01 01:58:49.700399,1,,,5.0,,,,,,,,m4gaqt5o,,,,,0,1.0,0.0,deception,1,,5.0,2,1,1,The experiment was intriguing. It sheds light on how communication influences decision-making in economic games.,2,1,1,1,,,,,,,,,,,
4,6atfa2e4,,0,6,6,deception,PayoffThanks,2024-05-01 01:58:49.188142,1,,,6.0,,,,,,,,m4gaqt5o,,,,,0,1.0,0.0,deception,2,,6.0,1,2,1,No specific feedback.,2,1,1,1,,,,,,,,,,,
5,q720vp96,,0,6,6,deception,PayoffThanks,2024-05-01 01:58:49.701682,1,,,6.0,,,,,,,,m4gaqt5o,,,,,0,1.0,0.0,deception,1,,6.0,1,1,1,The experiment was intriguing. It provided insight into how communication can influence decision-making in a controlled setting.,3,2,2,1,,,,,,,,,,,
6,ansoohua,,0,6,6,deception,PayoffThanks,2024-05-01 01:58:49.578652,1,,,5.0,,,,,,,,m4gaqt5o,,,,,0,1.0,0.0,deception,2,,5.0,1,2,1,"No specific feedback, but enjoyed the decision-making aspect.",3,2,2,1,,,,,,,,,,,
7,bv3qwyeo,,0,6,6,deception,PayoffThanks,2024-05-01 01:58:49.014921,1,,,5.0,,,,,,,,m4gaqt5o,,,,,0,1.0,0.0,deception,1,,5.0,2,1,1,,4,1,1,1,,,,,,,,,,,
8,bygovlx1,,0,6,6,deception,PayoffThanks,2024-05-01 01:58:49.186735,1,,,6.0,,,,,,,,m4gaqt5o,,,,,0,1.0,0.0,deception,2,,6.0,1,2,1,"The experiment was intriguing, and it highlighted the complexity of decision-making when one has limited information. It would be interesting to know the rationale behind Participant A’s choices and whether they were truthful or strategic.",4,1,1,1,,,,,,,,,,,
9,7fsaofmp,,0,6,6,deception,PayoffThanks,2024-05-01 01:58:48.777349,1,,,6.0,,,,,,,,m4gaqt5o,,,,,0,1.0,0.0,deception,1,,6.0,1,1,1,The instructions were clear and the task was engaging. It might be helpful to provide a brief summary or feedback at the end regarding the choices made by both participants.,5,2,2,1,,,,,,,,,,,
10,meancejw,,0,6,6,deception,PayoffThanks,2024-05-01 01:58:50.263211,1,,,5.0,,,,,,,,m4gaqt5o,,,,,0,1.0,0.0,deception,2,,5.0,1,2,1,This experiment provides insightful engagement into decision-making processes. Future experiments could possibly explore further the dynamics of trust and information asymmetry between participants.,5,2,2,1,,,,,,,,,,,
1,0ia53aax,,0,6,6,fdeception,PayoffThanks,2024-05-01 01:59:44.756198,1,,,6.0,,,,,,,,t4f20zu6,,,,,0,1.0,0.0,fdeception,,,,,,,,,,,,1,,6.0,1,1,1,No specific feedback at this moment.,1,2,2,1
2,a4owsiv1,,0,6,6,fdeception,PayoffThanks,2024-05-01 01:59:44.589831,1,,,5.0,,,,,,,,t4f20zu6,,,,,0,1.0,0.0,fdeception,,,,,,,,,,,,2,,5.0,1,2,1,The experiment presents an interesting exploration of decision-making and trust between different roles. It would be useful to know more about the accuracy of the accountant's advice and how often they are incentivized to be truthful or deceitful.,1,2,2,1
3,qtq5oxi0,,0,6,6,fdeception,PayoffThanks,2024-05-01 01:59:44.592427,1,,,6.0,,,,,,,,t4f20zu6,,,,,0,1.0,0.0,fdeception,,,,,,,,,,,,1,,6.0,1,1,1,No specific feedback.,2,2,2,1
4,02tw6rsj,,0,6,6,fdeception,PayoffThanks,2024-05-01 01:59:44.752904,1,,,5.0,,,,,,,,t4f20zu6,,,,,0,1.0,0.0,fdeception,,,,,,,,,,,,2,,5.0,2,2,1,"No specific feedback, but an interesting experiment!",2,2,2,1
