participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,participant.wealth,participant.comprehension_check,participant.comprehension_check1,participant.comprehension_check2,participant.manipulation_check,participant.human_check,participant.feedback,participant.part_id,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo,session.config.participation_fee,session.config.name,session.config.real_world_currency_per_point,mftrust.1.player.id_in_group,mftrust.1.player.role,mftrust.1.player.payoff,mftrust.1.player.wealth,mftrust.1.player.comprehension_check,mftrust.1.player.manipulation_check,mftrust.1.player.altruism,mftrust.1.player.trust,mftrust.1.player.reciprocity,mftrust.1.player.negative_reciprocity,mftrust.1.player.human_check,mftrust.1.player.feedback,mftrust.1.group.id_in_subsession,mftrust.1.group.message,mftrust.1.group.sent_amount,mftrust.1.group.sent_back_amount,mftrust.1.subsession.round_number,mftrust.2.player.id_in_group,mftrust.2.player.role,mftrust.2.player.payoff,mftrust.2.player.wealth,mftrust.2.player.comprehension_check,mftrust.2.player.manipulation_check,mftrust.2.player.altruism,mftrust.2.player.trust,mftrust.2.player.reciprocity,mftrust.2.player.negative_reciprocity,mftrust.2.player.human_check,mftrust.2.player.feedback,mftrust.2.group.id_in_subsession,mftrust.2.group.message,mftrust.2.group.sent_amount,mftrust.2.group.sent_back_amount,mftrust.2.subsession.round_number,mftrust.3.player.id_in_group,mftrust.3.player.role,mftrust.3.player.payoff,mftrust.3.player.wealth,mftrust.3.player.comprehension_check,mftrust.3.player.manipulation_check,mftrust.3.player.altruism,mftrust.3.player.trust,mftrust.3.player.reciprocity,mftrust.3.player.negative_reciprocity,mftrust.3.player.human_check,mftrust.3.player.feedback,mftrust.3.group.id_in_subsession,mftrust.3.group.message,mftrust.3.group.sent_amount,mftrust.3.group.sent_back_amount,mftrust.3.subsession.round_number
11,9k28kyba,,0,30,30,mftrust,Thanks,2024-05-10 10:46:31.390502,1,,,350.0,350.0,,,,,,,uIbl Zrps,0g1um5kn,,,,,0,0.0,mftrust,1.0,1,,100.0,0.0,,,,,,,,,6,HI! Let's have fun!  ,50.0,50.0,1,1,,120.0,0.0,,,,,,,,,6,,70.0,90.0,2,1,,130.0,0.0,3,1,2,3,1,4,1,The experiment was well-designed and engaging. It would be interesting to see more variations in the investment options and returns to test different strategies.,6,,80.0,110.0,3
12,ysvq6wmn,,0,30,30,mftrust,Thanks,2024-05-10 10:53:32.325860,1,,,350.0,350.0,,,,,,,mlYI H9T4,0g1um5kn,,,,,0,0.0,mftrust,1.0,2,,100.0,0.0,,,,,,,,,6,HI! Let's have fun!  ,50.0,50.0,1,2,,120.0,0.0,,,,,,,,,6,,70.0,90.0,2,2,,130.0,0.0,3,2,2,2,3,3,2,I know it,6,,80.0,110.0,3
13,p4hc9v9v,,0,30,30,mftrust,Thanks,2024-05-10 10:57:25.656294,1,,,450.0,450.0,,,,,,,7hU7 1J5g,0g1um5kn,,,,,0,0.0,mftrust,1.0,1,,150.0,0.0,,,,,,,,,7,Let's collaborate efficiently to maximize our gains. I'm committed to fairness and transparency in dividing the returns. Looking forward to a great partnership!,100.0,150.0,1,1,,150.0,0.0,,,,,,,,,7,,100.0,150.0,2,1,,150.0,0.0,3,1,2,2,1,3,2,,7,,100.0,150.0,3
14,hiedf27t,,0,30,30,mftrust,Thanks,2024-05-10 10:46:31.128529,1,,,450.0,450.0,,,,,,,dKzs udhd,0g1um5kn,,,,,0,0.0,mftrust,1.0,2,,150.0,0.0,,,,,,,,,7,Let's collaborate efficiently to maximize our gains. I'm committed to fairness and transparency in dividing the returns. Looking forward to a great partnership!,100.0,150.0,1,2,,150.0,0.0,,,,,,,,,7,,100.0,150.0,2,2,,150.0,0.0,3,2,1,3,1,4,2,The experiment was a fascinating exploration of trust and reciprocity in financial decisions. It would be interesting to see the outcomes had either party employed different strategies.,7,,100.0,150.0,3
15,ndgly1bf,,0,18,30,mftrust,Results,2024-05-10 11:01:18.986629,1,,,300.0,300.0,,,,,,,CWHT ACZ8,0g1um5kn,,,,,0,0.0,mftrust,1.0,1,,150.0,0.0,,,,,,,,,8,"I am committed to ensuring we both benefit from our partnership. I plan to conduct our transactions with transparency and fairness, aiming for an equitable share of profits. Looking forward to working together.",100.0,150.0,1,1,,150.0,0.0,,,,,,,,,8,,100.0,150.0,2,1,,0.0,0.0,,,,,,,,,8,,,,3
16,7ls95x53,,0,25,30,mftrust,SendBackWaitPage,2024-05-10 10:46:29.287048,1,,,300.0,300.0,,,,,,,uQey PAiw,0g1um5kn,,,,,0,0.0,mftrust,1.0,2,,150.0,0.0,,,,,,,,,8,"I am committed to ensuring we both benefit from our partnership. I plan to conduct our transactions with transparency and fairness, aiming for an equitable share of profits. Looking forward to working together.",100.0,150.0,1,2,,150.0,0.0,,,,,,,,,8,,100.0,150.0,2,2,,0.0,0.0,,,,,,,,,8,,,,3
17,pwtn7ugt,,0,30,30,mftrust,Thanks,2024-05-10 11:02:48.399905,1,,,400.0,400.0,,,,,,,ySoj jjxk,0g1um5kn,,,,,0,0.0,mftrust,1.0,1,,150.0,0.0,,,,,,,,,9,Hi! I'll always pay half of the firm value as a dividend,100.0,150.0,1,1,,150.0,0.0,,,,,,,,,9,,100.0,150.0,2,1,,100.0,0.0,3,1,2,3,2,1,1,I wanted to play safe in the last round,9,,0.0,0.0,3
18,qrwu9idv,,0,30,30,mftrust,Thanks,2024-05-10 11:02:52.917259,1,,,300.0,300.0,,,,,,,NRzC oE6r,0g1um5kn,,,,,0,0.0,mftrust,1.0,2,,150.0,0.0,,,,,,,,,9,Hi! I'll always pay half of the firm value as a dividend,100.0,150.0,1,2,,150.0,0.0,,,,,,,,,9,,100.0,150.0,2,2,,0.0,0.0,3,2,1,1,1,3,1,He did not trust me in the last round,9,,0.0,0.0,3
19,8un40gfp,,0,30,30,mftrust,Thanks,2024-05-10 11:05:53.907260,1,,,200.0,200.0,,,,,,,bvmy Wsqk,0g1um5kn,,,,,0,0.0,mftrust,1.0,1,,50.0,0.0,,,,,,,,,10,"Hi! Maybe, just maybe I will pay you a dividend 👺",50.0,0.0,1,1,,100.0,0.0,,,,,,,,,10,,30.0,30.0,2,1,,50.0,0.0,3,1,2,3,2,3,1,That was not nicely played by the other participant,10,,50.0,0.0,3
20,n1dzlsg3,,0,30,30,mftrust,Thanks,2024-05-10 11:05:57.019264,1,,,360.0,360.0,,,,,,,9zxu MpgJ,0g1um5kn,,,,,0,0.0,mftrust,1.0,2,,150.0,0.0,,,,,,,,,10,"Hi! Maybe, just maybe I will pay you a dividend 👺",50.0,0.0,1,2,,60.0,0.0,,,,,,,,,10,,30.0,30.0,2,2,,150.0,0.0,3,2,3,4,3,1,1,I fooled my peer,10,,50.0,0.0,3
21,30eln72j,,0,18,30,mftrust,Results,2024-05-10 11:09:21.776179,1,,,300.0,300.0,,,,,,,TICN zMul,0g1um5kn,,,,,0,0.0,mftrust,1.0,1,,150.0,0.0,,,,,,,,,11,Let's share the pot and reach the social optimum,100.0,150.0,1,1,,150.0,0.0,,,,,,,,,11,,100.0,150.0,2,1,,0.0,0.0,,,,,,,,,11,,,,3
22,g80d2gmt,,0,18,30,mftrust,Results,2024-05-10 11:09:25.423478,1,,,300.0,300.0,,,,,,,0Hxr qUkj,0g1um5kn,,,,,0,0.0,mftrust,1.0,2,,150.0,0.0,,,,,,,,,11,Let's share the pot and reach the social optimum,100.0,150.0,1,2,,150.0,0.0,,,,,,,,,11,,100.0,150.0,2,2,,0.0,0.0,,,,,,,,,11,,,,3
23,n3er0wy3,,0,0,30,,,,0,,,0.0,0.0,,,,,,,N81b 56ma,0g1um5kn,,,,,0,0.0,mftrust,1.0,1,,0.0,0.0,,,,,,,,,12,HI! Let's cooperate,,,1,1,,0.0,0.0,,,,,,,,,12,,,,2,1,,0.0,0.0,,,,,,,,,12,,,,3
24,q64skfrk,,0,3,30,mftrust,SendWaitPage,2024-05-10 11:10:37.153344,1,,,0.0,0.0,,,,,,,k370 iXEa,0g1um5kn,,,,,0,0.0,mftrust,1.0,2,,0.0,0.0,,,,,,,,,12,HI! Let's cooperate,,,1,2,,0.0,0.0,,,,,,,,,12,,,,2,2,,0.0,0.0,,,,,,,,,12,,,,3
